Effective Refractance index n(r,f). f =  2.00000000000000000Mode #  1
Радиус 	                n(r,f) 	
0.00000000000000000E+0	1.17531121618476485E+0	
5.00000000000000010E-4	1.17531115627812695E+0	
1.00000000000000002E-3	1.17531104790600091E+0	
1.50000000000000003E-3	1.17531088399736731E+0	
2.00000000000000004E-3	1.17531066018209581E+0	
2.50000000000000005E-3	1.17531037646018641E+0	
3.00000000000000006E-3	1.17531003283163910E+0	
3.50000000000000007E-3	1.17530962222543448E+0	
4.00000000000000008E-3	1.17530915171259194E+0	
4.50000000000000009E-3	1.17530862566324185E+0	
5.00000000000000010E-3	1.17530802826610410E+0	
5.50000000000000011E-3	1.17530737533245878E+0	
6.00000000000000012E-3	1.17530666249217556E+0	
6.50000000000000014E-3	1.17530588974525444E+0	
7.00000000000000015E-3	1.17530505002067599E+0	
7.50000000000000016E-3	1.17530415038945964E+0	
8.00000000000000017E-3	1.17530319085160540E+0	
8.50000000000000018E-3	1.17530216433609382E+0	
9.00000000000000019E-3	1.17530108228407469E+0	
9.50000000000000020E-3	1.17529993595528731E+0	
1.00000000000000002E-2	1.17529872701897295E+0	
1.05000000000000002E-2	1.17529745380589035E+0	
1.10000000000000002E-2	1.17529612505630018E+0	
1.15000000000000002E-2	1.17529472932905270E+0	
1.20000000000000002E-2	1.17529327369516731E+0	
1.25000000000000003E-2	1.17529175815464402E+0	
1.30000000000000003E-2	1.17529018270748282E+0	
1.35000000000000003E-2	1.17528854465279464E+0	
1.40000000000000003E-2	1.17528683525031880E+0	
1.45000000000000003E-2	1.17528507301222448E+0	
1.50000000000000003E-2	1.17528324816660318E+0	
1.55000000000000003E-2	1.17528135904421363E+0	
1.60000000000000003E-2	1.17527941438531652E+0	
1.65000000000000003E-2	1.17527740274876209E+0	
1.70000000000000004E-2	1.17527533120556976E+0	
1.75000000000000004E-2	1.17527319268472010E+0	
1.80000000000000004E-2	1.17527099425723254E+0	
1.85000000000000004E-2	1.17526873592310708E+0	
1.90000000000000004E-2	1.17526641768234371E+0	
1.95000000000000004E-2	1.17526403683405337E+0	
2.00000000000000004E-2	1.17526159170899478E+0	
2.05000000000000004E-2	1.17525909104742863E+0	
2.10000000000000004E-2	1.17525652340820515E+0	
